       X(cm)   F(g/cm^2-s)     U(cm/s)         G(g/cm^3-s)     V/R(1/s)        H(g/cm^3-s^2)   T(K)            RHO(g/cm^3)     HDOT(cal/s/cm^3)
  23   0.0440  3.7117E-002     6.6715E+001    -1.8814E-003     1.6909E+000    -2.8533E+000     2.9869E+002     1.1127E-003     3.3783E-029
  24   0.0460  3.7113E-002     6.6708E+001    -1.9670E-003     1.7677E+000    -2.8533E+000     2.9869E+002     1.1127E-003     3.2296E-029
  25   0.0480  3.7109E-002     6.6701E+001    -2.0525E-003     1.8446E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.8862E-029
  26   0.0501  3.7105E-002     6.6694E+001    -2.1380E-003     1.9214E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.2784E-029
  27   0.0521  3.7100E-002     6.6686E+001    -2.2235E-003     1.9983E+000    -2.8533E+000     2.9869E+002     1.1127E-003     8.8756E-030
  28   0.0541  3.7096E-002     6.6678E+001    -2.3090E-003     2.0751E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -5.9842E-031
  29   0.0561  3.7091E-002     6.6669E+001    -2.3945E-003     2.1520E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.1569E-029
  30   0.0581  3.7086E-002     6.6660E+001    -2.4800E-003     2.2288E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.4770E-030
  31   0.0601  3.7081E-002     6.6651E+001    -2.5655E-003     2.3057E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.1765E-030
  32   0.0621  3.7076E-002     6.6642E+001    -2.6510E-003     2.3825E+000    -2.8533E+000     2.9869E+002     1.1127E-003     7.6293E-031
  33   0.0641  3.7071E-002     6.6632E+001    -2.7365E-003     2.4594E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -7.1088E-030
  34   0.0661  3.7065E-002     6.6622E+001    -2.8221E-003     2.5362E+000    -2.8533E+000     2.9869E+002     1.1127E-003     6.5132E-030
  35   0.0681  3.7059E-002     6.6612E+001    -2.9076E-003     2.6131E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.7860E-029
  36   0.0701  3.7053E-002     6.6601E+001    -2.9931E-003     2.6899E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.3636E-030
  37   0.0721  3.7047E-002     6.6590E+001    -3.0786E-003     2.7668E+000    -2.8533E+000     2.9869E+002     1.1127E-003     7.4242E-030
  38   0.0741  3.7041E-002     6.6579E+001    -3.1641E-003     2.8436E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.0062E-030
  39   0.0761  3.7035E-002     6.6568E+001    -3.2496E-003     2.9205E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.8063E-031
  40   0.0781  3.7028E-002     6.6556E+001    -3.3351E-003     2.9973E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.3197E-029
  41   0.0801  3.7021E-002     6.6544E+001    -3.4206E-003     3.0742E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.7231E-029
  42   0.0821  3.7014E-002     6.6531E+001    -3.5061E-003     3.1510E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.5784E-029
  43   0.0841  3.7007E-002     6.6518E+001    -3.5916E-003     3.2278E+000    -2.8533E+000     2.9869E+002     1.1127E-003     9.0651E-030
  44   0.0861  3.7000E-002     6.6505E+001    -3.6771E-003     3.3047E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.2251E-030
  45   0.0881  3.6993E-002     6.6492E+001    -3.7626E-003     3.3815E+000    -2.8533E+000     2.9869E+002     1.1127E-003     9.5542E-030
  46   0.0901  3.6985E-002     6.6478E+001    -3.8481E-003     3.4584E+000    -2.8533E+000     2.9869E+002     1.1127E-003     3.1482E-030
  47   0.0921  3.6977E-002     6.6464E+001    -3.9336E-003     3.5352E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.7118E-029
  48   0.0941  3.6969E-002     6.6450E+001    -4.0191E-003     3.6120E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.4563E-029
  49   0.0961  3.6961E-002     6.6435E+001    -4.1046E-003     3.6889E+000    -2.8533E+000     2.9869E+002     1.1127E-003     9.5275E-030
  50   0.0981  3.6953E-002     6.6420E+001    -4.1901E-003     3.7657E+000    -2.8533E+000     2.9869E+002     1.1127E-003     6.9122E-030
  51   0.1001  3.6944E-002     6.6405E+001    -4.2756E-003     3.8426E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.7774E-030
  52   0.1021  3.6936E-002     6.6390E+001    -4.3611E-003     3.9194E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9097E-029
  53   0.1041  3.6927E-002     6.6374E+001    -4.4466E-003     3.9962E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.8926E-029
  54   0.1061  3.6918E-002     6.6358E+001    -4.5321E-003     4.0731E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -5.9439E-031
  55   0.1081  3.6909E-002     6.6341E+001    -4.6176E-003     4.1499E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.8266E-030
  56   0.1101  3.6899E-002     6.6324E+001    -4.7031E-003     4.2267E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -9.3464E-030
  57   0.1121  3.6890E-002     6.6307E+001    -4.7886E-003     4.3036E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9588E-029
  58   0.1141  3.6880E-002     6.6290E+001    -4.8741E-003     4.3804E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.0421E-029
  59   0.1161  3.6870E-002     6.6272E+001    -4.9595E-003     4.4572E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.2575E-029
  60   0.1181  3.6860E-002     6.6254E+001    -5.0450E-003     4.5341E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.1842E-029
  61   0.1201  3.6850E-002     6.6236E+001    -5.1305E-003     4.6109E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.5364E-029
  62   0.1221  3.6840E-002     6.6217E+001    -5.2160E-003     4.6877E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.6562E-029
  63   0.1241  3.6829E-002     6.6198E+001    -5.3015E-003     4.7646E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4554E-029
  64   0.1261  3.6819E-002     6.6179E+001    -5.3870E-003     4.8414E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.8844E-029
  65   0.1281  3.6808E-002     6.6160E+001    -5.4725E-003     4.9182E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.2107E-029
  66   0.1301  3.6797E-002     6.6140E+001    -5.5580E-003     4.9951E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.8830E-029
  67   0.1321  3.6785E-002     6.6120E+001    -5.6435E-003     5.0719E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.8777E-029
  68   0.1341  3.6774E-002     6.6099E+001    -5.7290E-003     5.1487E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2861E-030
  69   0.1361  3.6762E-002     6.6078E+001    -5.8144E-003     5.2256E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.3961E-029
  70   0.1381  3.6751E-002     6.6057E+001    -5.8999E-003     5.3024E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.9129E-029
  71   0.1401  3.6739E-002     6.6036E+001    -5.9854E-003     5.3792E+000    -2.8533E+000     2.9869E+002     1.1127E-003     5.1552E-030
  72   0.1421  3.6727E-002     6.6014E+001    -6.0709E-003     5.4560E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.6893E-029
  73   0.1441  3.6715E-002     6.5992E+001    -6.1564E-003     5.5329E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.4327E-029
  74   0.1461  3.6702E-002     6.5970E+001    -6.2419E-003     5.6097E+000    -2.8533E+000     2.9869E+002     1.1127E-003     6.9690E-030
  75   0.1481  3.6690E-002     6.5947E+001    -6.3273E-003     5.6865E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.7308E-029
  76   0.1502  3.6677E-002     6.5924E+001    -6.4128E-003     5.7633E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.0627E-029
  77   0.1522  3.6664E-002     6.5901E+001    -6.4983E-003     5.8402E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -8.6261E-030
  78   0.1542  3.6651E-002     6.5878E+001    -6.5838E-003     5.9170E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.7814E-030
  79   0.1562  3.6638E-002     6.5854E+001    -6.6693E-003     5.9938E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.5758E-031
  80   0.1582  3.6624E-002     6.5830E+001    -6.7548E-003     6.0706E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -9.7808E-030
  81   0.1602  3.6610E-002     6.5805E+001    -6.8402E-003     6.1475E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -4.8937E-030
  82   0.1622  3.6597E-002     6.5780E+001    -6.9257E-003     6.2243E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4217E-029
  83   0.1642  3.6583E-002     6.5755E+001    -7.0112E-003     6.3011E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -9.9297E-030
  84   0.1662  3.6569E-002     6.5730E+001    -7.0967E-003     6.3779E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.0601E-029
  85   0.1682  3.6554E-002     6.5704E+001    -7.1821E-003     6.4547E+000    -2.8533E+000     2.9869E+002     1.1127E-003     3.4190E-030
  86   0.1702  3.6540E-002     6.5678E+001    -7.2676E-003     6.5316E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.3890E-030
  87   0.1722  3.6525E-002     6.5652E+001    -7.3531E-003     6.6084E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.7221E-029
  88   0.1742  3.6510E-002     6.5625E+001    -7.4386E-003     6.6852E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.8491E-030
  89   0.1762  3.6495E-002     6.5598E+001    -7.5240E-003     6.7620E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.0009E-030
  90   0.1782  3.6480E-002     6.5571E+001    -7.6095E-003     6.8388E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.8546E-030
  91   0.1802  3.6465E-002     6.5544E+001    -7.6950E-003     6.9157E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.2486E-030
  92   0.1822  3.6449E-002     6.5516E+001    -7.7805E-003     6.9925E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.0721E-029
  93   0.1842  3.6434E-002     6.5488E+001    -7.8659E-003     7.0693E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.6865E-029
  94   0.1862  3.6418E-002     6.5459E+001    -7.9514E-003     7.1461E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.1375E-029
  95   0.1882  3.6402E-002     6.5430E+001    -8.0369E-003     7.2229E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2618E-029
  96   0.1902  3.6386E-002     6.5401E+001    -8.1223E-003     7.2997E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.0418E-029
  97   0.1922  3.6369E-002     6.5372E+001    -8.2078E-003     7.3765E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -6.0117E-030
  98   0.1942  3.6353E-002     6.5342E+001    -8.2933E-003     7.4534E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.0969E-029
  99   0.1962  3.6336E-002     6.5312E+001    -8.3788E-003     7.5302E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.1379E-029
 100   0.1982  3.6319E-002     6.5282E+001    -8.4642E-003     7.6070E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.8050E-029
 101   0.2002  3.6302E-002     6.5251E+001    -8.5497E-003     7.6838E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.4419E-029
 102   0.2022  3.6285E-002     6.5221E+001    -8.6352E-003     7.7606E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.5362E-029
 103   0.2042  3.6268E-002     6.5189E+001    -8.7206E-003     7.8374E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.5251E-029
 104   0.2062  3.6250E-002     6.5158E+001    -8.8061E-003     7.9142E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.5512E-029
 105   0.2082  3.6233E-002     6.5126E+001    -8.8916E-003     7.9910E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -6.6103E-030
 106   0.2102  3.6215E-002     6.5094E+001    -8.9770E-003     8.0678E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.8666E-029
 107   0.2122  3.6197E-002     6.5061E+001    -9.0625E-003     8.1446E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.3028E-030
 108   0.2142  3.6178E-002     6.5029E+001    -9.1479E-003     8.2215E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.4838E-030
 109   0.2162  3.6160E-002     6.4995E+001    -9.2334E-003     8.2983E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9409E-029
 110   0.2182  3.6141E-002     6.4962E+001    -9.3189E-003     8.3751E+000    -2.8533E+000     2.9869E+002     1.1127E-003     5.4572E-030
 111   0.2202  3.6123E-002     6.4928E+001    -9.4043E-003     8.4519E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.4347E-031
 112   0.2222  3.6104E-002     6.4894E+001    -9.4898E-003     8.5287E+000    -2.8533E+000     2.9869E+002     1.1127E-003     4.8858E-030
 113   0.2242  3.6085E-002     6.4860E+001    -9.5753E-003     8.6055E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9089E-029
 114   0.2262  3.6065E-002     6.4825E+001    -9.6607E-003     8.6823E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.3983E-030
 115   0.2282  3.6046E-002     6.4791E+001    -9.7462E-003     8.7591E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2208E-029
 116   0.2302  3.6026E-002     6.4755E+001    -9.8316E-003     8.8359E+000    -2.8533E+000     2.9869E+002     1.1127E-003     5.5036E-030
 117   0.2322  3.6007E-002     6.4720E+001    -9.9171E-003     8.9127E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.5074E-029
 118   0.2342  3.5987E-002     6.4684E+001    -1.0003E-002     8.9895E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -9.0530E-030
 119   0.2362  3.5967E-002     6.4648E+001    -1.0088E-002     9.0663E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.7166E-029
 120   0.2382  3.5946E-002     6.4611E+001    -1.0173E-002     9.1431E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -3.7404E-029
 121   0.2402  3.5926E-002     6.4575E+001    -1.0259E-002     9.2199E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.3827E-029
 122   0.2422  3.5905E-002     6.4538E+001    -1.0344E-002     9.2967E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -2.1052E-030
 123   0.2442  3.5884E-002     6.4500E+001    -1.0430E-002     9.3735E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.0182E-029
 124   0.2462  3.5863E-002     6.4462E+001    -1.0515E-002     9.4503E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -9.1073E-030
 125   0.2482  3.5842E-002     6.4424E+001    -1.0601E-002     9.5271E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.2191E-029
 126   0.2503  3.5821E-002     6.4386E+001    -1.0686E-002     9.6039E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -4.0548E-030
 127   0.2523  3.5800E-002     6.4348E+001    -1.0772E-002     9.6807E+000    -2.8533E+000     2.9869E+002     1.1127E-003     1.0071E-029
 128   0.2543  3.5778E-002     6.4309E+001    -1.0857E-002     9.7575E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2170E-029
 129   0.2563  3.5756E-002     6.4269E+001    -1.0943E-002     9.8343E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.1900E-029
 130   0.2583  3.5734E-002     6.4230E+001    -1.1028E-002     9.9111E+000    -2.8533E+000     2.9869E+002     1.1127E-003     5.6011E-030
 131   0.2603  3.5712E-002     6.4190E+001    -1.1113E-002     9.9879E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2431E-029
 132   0.2623  3.5690E-002     6.4150E+001    -1.1199E-002     1.0065E+001    -2.8533E+000     2.9869E+002     1.1127E-003     9.1328E-030
 133   0.2643  3.5667E-002     6.4109E+001    -1.1284E-002     1.0141E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.8608E-029
 134   0.2663  3.5644E-002     6.4069E+001    -1.1370E-002     1.0218E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9843E-029
 135   0.2683  3.5622E-002     6.4028E+001    -1.1455E-002     1.0295E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -3.5443E-029
 136   0.2703  3.5598E-002     6.3986E+001    -1.1541E-002     1.0372E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.6848E-029
 137   0.2723  3.5575E-002     6.3945E+001    -1.1626E-002     1.0449E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.1222E-029
 138   0.2743  3.5552E-002     6.3903E+001    -1.1712E-002     1.0525E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -3.0111E-029
 139   0.2763  3.5528E-002     6.3860E+001    -1.1797E-002     1.0602E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -4.3873E-030
 140   0.2783  3.5505E-002     6.3818E+001    -1.1882E-002     1.0679E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.6285E-029
 141   0.2803  3.5481E-002     6.3775E+001    -1.1968E-002     1.0756E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.1709E-029
 142   0.2823  3.5457E-002     6.3732E+001    -1.2053E-002     1.0833E+001    -2.8533E+000     2.9869E+002     1.1127E-003     2.3174E-030
 143   0.2843  3.5433E-002     6.3688E+001    -1.2139E-002     1.0909E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.3169E-029
 144   0.2863  3.5408E-002     6.3644E+001    -1.2224E-002     1.0986E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -9.2284E-030
 145   0.2883  3.5384E-002     6.3600E+001    -1.2310E-002     1.1063E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.2008E-030
 146   0.2903  3.5359E-002     6.3556E+001    -1.2395E-002     1.1140E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.7778E-029
 147   0.2923  3.5334E-002     6.3511E+001    -1.2481E-002     1.1217E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -9.4377E-030
 148   0.2943  3.5309E-002     6.3466E+001    -1.2566E-002     1.1293E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -4.4098E-031
 149   0.2963  3.5284E-002     6.3420E+001    -1.2651E-002     1.1370E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.1300E-029
 150   0.2983  3.5258E-002     6.3375E+001    -1.2737E-002     1.1447E+001    -2.8533E+000     2.9869E+002     1.1127E-003     2.3222E-029
 151   0.3003  3.5233E-002     6.3329E+001    -1.2822E-002     1.1524E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.5782E-030
 152   0.3023  3.5207E-002     6.3282E+001    -1.2908E-002     1.1600E+001    -2.8533E+000     2.9869E+002     1.1127E-003     3.4461E-030
 153   0.3043  3.5181E-002     6.3236E+001    -1.2993E-002     1.1677E+001    -2.8533E+000     2.9869E+002     1.1127E-003     2.0160E-030
 154   0.3063  3.5155E-002     6.3189E+001    -1.3079E-002     1.1754E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -3.1175E-029
 155   0.3083  3.5129E-002     6.3142E+001    -1.3164E-002     1.1831E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4846E-029
 156   0.3103  3.5102E-002     6.3094E+001    -1.3249E-002     1.1908E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4152E-029
 157   0.3123  3.5076E-002     6.3046E+001    -1.3335E-002     1.1984E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.2725E-029
 158   0.3143  3.5049E-002     6.2998E+001    -1.3420E-002     1.2061E+001    -2.8533E+000     2.9869E+002     1.1127E-003     3.8253E-030
 159   0.3163  3.5022E-002     6.2950E+001    -1.3506E-002     1.2138E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.0282E-031
 160   0.3183  3.4995E-002     6.2901E+001    -1.3591E-002     1.2215E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.6159E-029
 161   0.3203  3.4967E-002     6.2852E+001    -1.3677E-002     1.2291E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.4835E-029
 162   0.3223  3.4940E-002     6.2803E+001    -1.3762E-002     1.2368E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.8756E-030
 163   0.3243  3.4912E-002     6.2753E+001    -1.3847E-002     1.2445E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.9752E-030
 164   0.3263  3.4885E-002     6.2703E+001    -1.3933E-002     1.2522E+001    -2.8533E+000     2.9869E+002     1.1127E-003     2.7555E-029
 165   0.3283  3.4857E-002     6.2653E+001    -1.4018E-002     1.2599E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.6191E-030
 166   0.3303  3.4828E-002     6.2602E+001    -1.4104E-002     1.2675E+001    -2.8533E+000     2.9869E+002     1.1127E-003     4.0213E-030
 167   0.3323  3.4800E-002     6.2551E+001    -1.4189E-002     1.2752E+001    -2.8533E+000     2.9869E+002     1.1127E-003     2.3525E-029
 168   0.3343  3.4772E-002     6.2500E+001    -1.4275E-002     1.2829E+001    -2.8533E+000     2.9869E+002     1.1127E-003     5.9905E-030
 169   0.3363  3.4743E-002     6.2448E+001    -1.4360E-002     1.2906E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.6571E-030
 170   0.3383  3.4714E-002     6.2397E+001    -1.4445E-002     1.2982E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.8403E-030
 171   0.3403  3.4685E-002     6.2344E+001    -1.4531E-002     1.3059E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.9995E-029
 172   0.3423  3.4656E-002     6.2292E+001    -1.4616E-002     1.3136E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -3.1635E-030
 173   0.3443  3.4627E-002     6.2239E+001    -1.4702E-002     1.3213E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.5883E-029
 174   0.3463  3.4597E-002     6.2186E+001    -1.4787E-002     1.3290E+001    -2.8533E+000     2.9869E+002     1.1127E-003     1.4347E-029
 175   0.3483  3.4567E-002     6.2133E+001    -1.4873E-002     1.3366E+001    -2.8533E+000     2.9869E+002     1.1127E-003     3.2124E-030
 176   0.3504  3.4537E-002     6.2079E+001    -1.4958E-002     1.3443E+001    -2.8533E+000     2.9869E+002     1.1127E-003     9.5477E-030
 177   0.3524  3.4507E-002     6.2025E+001    -1.5043E-002     1.3520E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.2832E-029
 178   0.3544  3.4477E-002     6.1971E+001    -1.5129E-002     1.3597E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.3355E-029
 179   0.3564  3.4447E-002     6.1916E+001    -1.5214E-002     1.3673E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2172E-029
 180   0.3584  3.4416E-002     6.1861E+001    -1.5300E-002     1.3750E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.9701E-029
 181   0.3604  3.4386E-002     6.1806E+001    -1.5385E-002     1.3827E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -3.3763E-029
 182   0.3624  3.4355E-002     6.1751E+001    -1.5471E-002     1.3904E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.5583E-029
 183   0.3644  3.4324E-002     6.1695E+001    -1.5556E-002     1.3980E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.1744E-030
 184   0.3664  3.4292E-002     6.1639E+001    -1.5641E-002     1.4057E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -8.8283E-030
 185   0.3684  3.4261E-002     6.1582E+001    -1.5727E-002     1.4134E+001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4835E-029
