       X(cm)   F(g/cm^2-s)     U(cm/s)         G(g/cm^3-s)     V/R(1/s)        H(g/cm^3-s^2)   T(K)            RHO(g/cm^3)     HDOT(cal/s/cm^3)
   1   0.0000  3.7158E-002     6.6790E+001     0.0000E+000     0.0000E+000    -2.8533E+000     2.9869E+002     1.1127E-003     8.5694E-030
   2   0.0020  3.7158E-002     6.6790E+001    -8.5526E-005     7.6864E-002    -2.8533E+000     2.9869E+002     1.1127E-003     1.2135E-029
   3   0.0040  3.7158E-002     6.6789E+001    -1.7105E-004     1.5373E-001    -2.8533E+000     2.9869E+002     1.1127E-003     1.8428E-030
   4   0.0060  3.7158E-002     6.6789E+001    -2.5658E-004     2.3059E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.0111E-029
   5   0.0080  3.7157E-002     6.6787E+001    -3.4210E-004     3.0745E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.1600E-029
   6   0.0100  3.7156E-002     6.6786E+001    -4.2763E-004     3.8432E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.9092E-029
   7   0.0120  3.7155E-002     6.6784E+001    -5.1315E-004     4.6118E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -4.4261E-030
   8   0.0140  3.7154E-002     6.6782E+001    -5.9867E-004     5.3804E-001    -2.8533E+000     2.9869E+002     1.1127E-003     7.1647E-030
   9   0.0160  3.7153E-002     6.6780E+001    -6.8419E-004     6.1490E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2238E-029
  10   0.0180  3.7151E-002     6.6777E+001    -7.6972E-004     6.9176E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -2.3514E-029
  11   0.0200  3.7150E-002     6.6775E+001    -8.5524E-004     7.6862E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -1.4519E-029
  12   0.0220  3.7148E-002     6.6771E+001    -9.4076E-004     8.4548E-001    -2.8533E+000     2.9869E+002     1.1127E-003    -6.5328E-030
  13   0.0240  3.7146E-002     6.6768E+001    -1.0263E-003     9.2234E-001    -2.8533E+000     2.9869E+002     1.1127E-003     3.4160E-030
  14   0.0260  3.7144E-002     6.6764E+001    -1.1118E-003     9.9919E-001    -2.8533E+000     2.9869E+002     1.1127E-003     7.3983E-030
  15   0.0280  3.7142E-002     6.6760E+001    -1.1973E-003     1.0761E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -1.2407E-029
  16   0.0300  3.7139E-002     6.6755E+001    -1.2828E-003     1.1529E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -4.8469E-030
  17   0.0320  3.7136E-002     6.6751E+001    -1.3683E-003     1.2298E+000    -2.8533E+000     2.9869E+002     1.1127E-003     7.7497E-031
  18   0.0340  3.7134E-002     6.6745E+001    -1.4539E-003     1.3066E+000    -2.8533E+000     2.9869E+002     1.1127E-003     5.5634E-030
  19   0.0360  3.7131E-002     6.6740E+001    -1.5394E-003     1.3835E+000    -2.8533E+000     2.9869E+002     1.1127E-003     2.3163E-030
  20   0.0380  3.7127E-002     6.6734E+001    -1.6249E-003     1.4603E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -6.5306E-030
  21   0.0400  3.7124E-002     6.6728E+001    -1.7104E-003     1.5372E+000    -2.8533E+000     2.9869E+002     1.1127E-003    -6.5084E-030
  22   0.0420  3.7121E-002     6.6722E+001    -1.7959E-003     1.6140E+000    -2.8533E+000     2.9869E+002     1.1127E-003     7.5947E-030
