       X(cm)   F(g/cm^2-s)     U(cm/s)         G(g/cm^3-s)     V/R(1/s)        H(g/cm^3-s^2)   T(K)            RHO(g/cm^3)     HDOT(cal/s/cm^3)
   1   0.0000  1.8342E-002     3.3558E+001     0.0000E+000     0.0000E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.2867E-029
   2   0.0020  1.8342E-002     3.3558E+001    -5.3569E-005     4.9004E-002    -8.9797E-001     2.9850E+002     1.0932E-003     1.5542E-029
   3   0.0040  1.8342E-002     3.3558E+001    -1.0714E-004     9.8007E-002    -8.9797E-001     2.9850E+002     1.0932E-003     7.6329E-029
   4   0.0060  1.8342E-002     3.3558E+001    -1.6070E-004     1.4701E-001    -8.9797E-001     2.9850E+002     1.0932E-003     1.3128E-029
   5   0.0080  1.8341E-002     3.3557E+001    -2.1427E-004     1.9601E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -1.2701E-029
   6   0.0100  1.8341E-002     3.3556E+001    -2.6784E-004     2.4501E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -4.7172E-029
   7   0.0120  1.8340E-002     3.3555E+001    -3.2141E-004     2.9402E-001    -8.9797E-001     2.9850E+002     1.0932E-003     2.6717E-028
   8   0.0140  1.8340E-002     3.3554E+001    -3.7497E-004     3.4302E-001    -8.9797E-001     2.9850E+002     1.0932E-003     1.5712E-028
   9   0.0160  1.8339E-002     3.3552E+001    -4.2854E-004     3.9202E-001    -8.9797E-001     2.9850E+002     1.0932E-003     9.6996E-029
  10   0.0180  1.8338E-002     3.3550E+001    -4.8210E-004     4.4102E-001    -8.9797E-001     2.9850E+002     1.0932E-003     2.1722E-028
  11   0.0200  1.8337E-002     3.3549E+001    -5.3567E-004     4.9002E-001    -8.9797E-001     2.9850E+002     1.0932E-003     1.2090E-028
  12   0.0220  1.8336E-002     3.3547E+001    -5.8923E-004     5.3902E-001    -8.9797E-001     2.9850E+002     1.0932E-003     2.3031E-028
  13   0.0240  1.8335E-002     3.3544E+001    -6.4279E-004     5.8802E-001    -8.9797E-001     2.9850E+002     1.0932E-003     4.9008E-029
  14   0.0260  1.8333E-002     3.3542E+001    -6.9636E-004     6.3701E-001    -8.9797E-001     2.9850E+002     1.0932E-003     2.5060E-029
  15   0.0280  1.8332E-002     3.3539E+001    -7.4992E-004     6.8601E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -1.8376E-029
  16   0.0300  1.8330E-002     3.3536E+001    -8.0348E-004     7.3501E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -5.9034E-029
  17   0.0320  1.8329E-002     3.3533E+001    -8.5704E-004     7.8401E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -6.5989E-029
  18   0.0340  1.8327E-002     3.3530E+001    -9.1061E-004     8.3300E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -5.6659E-029
  19   0.0360  1.8325E-002     3.3527E+001    -9.6417E-004     8.8200E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -1.1088E-028
  20   0.0380  1.8323E-002     3.3523E+001    -1.0177E-003     9.3100E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -1.1665E-028
  21   0.0400  1.8321E-002     3.3519E+001    -1.0713E-003     9.7999E-001    -8.9797E-001     2.9850E+002     1.0932E-003    -1.0911E-029
  22   0.0420  1.8319E-002     3.3515E+001    -1.1248E-003     1.0290E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.8109E-029
  23   0.0440  1.8316E-002     3.3511E+001    -1.1784E-003     1.0780E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.3874E-029
  24   0.0460  1.8314E-002     3.3506E+001    -1.2320E-003     1.1270E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.4111E-028
  25   0.0480  1.8311E-002     3.3502E+001    -1.2855E-003     1.1760E+000    -8.9797E-001     2.9850E+002     1.0932E-003     9.0974E-029
  26   0.0501  1.8309E-002     3.3497E+001    -1.3391E-003     1.2250E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -2.4365E-029
  27   0.0521  1.8306E-002     3.3492E+001    -1.3926E-003     1.2740E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.6853E-028
  28   0.0541  1.8303E-002     3.3487E+001    -1.4462E-003     1.3229E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.6740E-029
  29   0.0561  1.8300E-002     3.3481E+001    -1.4997E-003     1.3719E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -4.2735E-029
  30   0.0581  1.8297E-002     3.3476E+001    -1.5533E-003     1.4209E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.9338E-029
  31   0.0601  1.8294E-002     3.3470E+001    -1.6069E-003     1.4699E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.1827E-029
  32   0.0621  1.8291E-002     3.3464E+001    -1.6604E-003     1.5189E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0670E-028
  33   0.0641  1.8287E-002     3.3458E+001    -1.7140E-003     1.5679E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -7.2638E-029
  34   0.0661  1.8284E-002     3.3452E+001    -1.7675E-003     1.6169E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -3.4257E-029
  35   0.0681  1.8280E-002     3.3445E+001    -1.8211E-003     1.6659E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.4962E-029
  36   0.0701  1.8277E-002     3.3438E+001    -1.8746E-003     1.7149E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.6329E-028
  37   0.0721  1.8273E-002     3.3431E+001    -1.9282E-003     1.7639E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1404E-028
  38   0.0741  1.8269E-002     3.3424E+001    -1.9817E-003     1.8129E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.3065E-029
  39   0.0761  1.8265E-002     3.3417E+001    -2.0353E-003     1.8618E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.9706E-029
  40   0.0781  1.8261E-002     3.3409E+001    -2.0888E-003     1.9108E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.2972E-028
  41   0.0801  1.8257E-002     3.3401E+001    -2.1424E-003     1.9598E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.0192E-029
  42   0.0821  1.8252E-002     3.3393E+001    -2.1959E-003     2.0088E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.5171E-031
  43   0.0841  1.8248E-002     3.3385E+001    -2.2495E-003     2.0578E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.7389E-029
  44   0.0861  1.8243E-002     3.3377E+001    -2.3030E-003     2.1068E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.9848E-028
  45   0.0881  1.8238E-002     3.3368E+001    -2.3566E-003     2.1558E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -2.5475E-028
  46   0.0901  1.8234E-002     3.3360E+001    -2.4101E-003     2.2047E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -6.7871E-029
  47   0.0921  1.8229E-002     3.3351E+001    -2.4637E-003     2.2537E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.5809E-028
  48   0.0941  1.8224E-002     3.3342E+001    -2.5172E-003     2.3027E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -6.5897E-028
  49   0.0961  1.8219E-002     3.3332E+001    -2.5708E-003     2.3517E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.4555E-028
  50   0.0981  1.8214E-002     3.3323E+001    -2.6243E-003     2.4007E+000    -8.9797E-001     2.9850E+002     1.0932E-003     9.7452E-029
  51   0.1001  1.8208E-002     3.3313E+001    -2.6779E-003     2.4497E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.1831E-029
  52   0.1021  1.8203E-002     3.3303E+001    -2.7314E-003     2.4986E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.8262E-029
  53   0.1041  1.8197E-002     3.3293E+001    -2.7850E-003     2.5476E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.2632E-028
