       X(cm)   F(g/cm^2-s)     U(cm/s)         G(g/cm^3-s)     V/R(1/s)        H(g/cm^3-s^2)   T(K)            RHO(g/cm^3)     HDOT(cal/s/cm^3)
  54   0.1061  1.8192E-002     3.3283E+001    -2.8385E-003     2.5966E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1648E-029
  55   0.1081  1.8186E-002     3.3272E+001    -2.8920E-003     2.6456E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.4514E-029
  56   0.1101  1.8180E-002     3.3262E+001    -2.9456E-003     2.6946E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.2816E-029
  57   0.1121  1.8174E-002     3.3251E+001    -2.9991E-003     2.7435E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.0435E-029
  58   0.1141  1.8168E-002     3.3240E+001    -3.0527E-003     2.7925E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.2707E-028
  59   0.1161  1.8162E-002     3.3228E+001    -3.1062E-003     2.8415E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.0161E-028
  60   0.1181  1.8156E-002     3.3217E+001    -3.1598E-003     2.8905E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.0597E-029
  61   0.1201  1.8149E-002     3.3205E+001    -3.2133E-003     2.9395E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.1669E-029
  62   0.1221  1.8143E-002     3.3193E+001    -3.2668E-003     2.9884E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.1468E-029
  63   0.1241  1.8136E-002     3.3181E+001    -3.3204E-003     3.0374E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.9870E-029
  64   0.1261  1.8130E-002     3.3169E+001    -3.3739E-003     3.0864E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.9990E-029
  65   0.1281  1.8123E-002     3.3157E+001    -3.4275E-003     3.1354E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.1842E-029
  66   0.1301  1.8116E-002     3.3144E+001    -3.4810E-003     3.1843E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.9363E-029
  67   0.1321  1.8109E-002     3.3131E+001    -3.5345E-003     3.2333E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.4348E-028
  68   0.1341  1.8102E-002     3.3118E+001    -3.5881E-003     3.2823E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.1806E-028
  69   0.1361  1.8094E-002     3.3105E+001    -3.6416E-003     3.3313E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.1187E-029
  70   0.1381  1.8087E-002     3.3091E+001    -3.6951E-003     3.3802E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.1540E-028
  71   0.1401  1.8080E-002     3.3078E+001    -3.7487E-003     3.4292E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.4283E-028
  72   0.1421  1.8072E-002     3.3064E+001    -3.8022E-003     3.4782E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -4.5578E-028
  73   0.1441  1.8064E-002     3.3050E+001    -3.8557E-003     3.5272E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.5434E-028
  74   0.1461  1.8057E-002     3.3036E+001    -3.9093E-003     3.5761E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.4151E-028
  75   0.1481  1.8049E-002     3.3021E+001    -3.9628E-003     3.6251E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.7129E-029
  76   0.1502  1.8041E-002     3.3007E+001    -4.0164E-003     3.6741E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -7.1413E-030
  77   0.1522  1.8033E-002     3.2992E+001    -4.0699E-003     3.7231E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.5628E-029
  78   0.1542  1.8024E-002     3.2977E+001    -4.1234E-003     3.7720E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.9557E-029
  79   0.1562  1.8016E-002     3.2962E+001    -4.1769E-003     3.8210E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.7037E-029
  80   0.1582  1.8008E-002     3.2946E+001    -4.2305E-003     3.8700E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1030E-028
  81   0.1602  1.7999E-002     3.2931E+001    -4.2840E-003     3.9189E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.9188E-028
  82   0.1622  1.7991E-002     3.2915E+001    -4.3375E-003     3.9679E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.5590E-028
  83   0.1642  1.7982E-002     3.2899E+001    -4.3911E-003     4.0169E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -7.5893E-029
  84   0.1662  1.7973E-002     3.2883E+001    -4.4446E-003     4.0658E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.9576E-029
  85   0.1682  1.7964E-002     3.2866E+001    -4.4981E-003     4.1148E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -5.2038E-029
  86   0.1702  1.7955E-002     3.2850E+001    -4.5517E-003     4.1638E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.7004E-028
  87   0.1722  1.7946E-002     3.2833E+001    -4.6052E-003     4.2127E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.8615E-029
  88   0.1742  1.7937E-002     3.2816E+001    -4.6587E-003     4.2617E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1000E-028
  89   0.1762  1.7927E-002     3.2799E+001    -4.7122E-003     4.3107E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.2419E-029
  90   0.1782  1.7918E-002     3.2781E+001    -4.7658E-003     4.3596E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.5470E-029
  91   0.1802  1.7908E-002     3.2764E+001    -4.8193E-003     4.4086E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.8054E-029
  92   0.1822  1.7898E-002     3.2746E+001    -4.8728E-003     4.4576E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.9777E-029
  93   0.1842  1.7889E-002     3.2728E+001    -4.9264E-003     4.5065E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.1384E-029
  94   0.1862  1.7879E-002     3.2710E+001    -4.9799E-003     4.5555E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.7437E-029
  95   0.1882  1.7869E-002     3.2692E+001    -5.0334E-003     4.6045E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.5041E-029
  96   0.1902  1.7858E-002     3.2673E+001    -5.0869E-003     4.6534E+000    -8.9797E-001     2.9850E+002     1.0932E-003     9.5735E-029
  97   0.1922  1.7848E-002     3.2654E+001    -5.1405E-003     4.7024E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.0906E-029
  98   0.1942  1.7838E-002     3.2636E+001    -5.1940E-003     4.7514E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.9174E-029
  99   0.1962  1.7827E-002     3.2616E+001    -5.2475E-003     4.8003E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.4386E-029
 100   0.1982  1.7817E-002     3.2597E+001    -5.3010E-003     4.8493E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.1244E-029
 101   0.2002  1.7806E-002     3.2578E+001    -5.3545E-003     4.8982E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.5345E-029
 102   0.2022  1.7795E-002     3.2558E+001    -5.4081E-003     4.9472E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.2946E-029
 103   0.2042  1.7785E-002     3.2538E+001    -5.4616E-003     4.9962E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.2235E-030
 104   0.2062  1.7774E-002     3.2518E+001    -5.5151E-003     5.0451E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.8910E-029
 105   0.2082  1.7762E-002     3.2498E+001    -5.5686E-003     5.0941E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -3.4918E-029
 106   0.2102  1.7751E-002     3.2477E+001    -5.6221E-003     5.1430E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.4085E-029
 107   0.2122  1.7740E-002     3.2456E+001    -5.6757E-003     5.1920E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.4597E-029
 108   0.2142  1.7729E-002     3.2436E+001    -5.7292E-003     5.2409E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.2452E-029
 109   0.2162  1.7717E-002     3.2414E+001    -5.7827E-003     5.2899E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.4043E-029
 110   0.2182  1.7705E-002     3.2393E+001    -5.8362E-003     5.3389E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.8531E-028
 111   0.2202  1.7694E-002     3.2372E+001    -5.8897E-003     5.3878E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -8.1785E-029
 112   0.2222  1.7682E-002     3.2350E+001    -5.9432E-003     5.4368E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.5396E-029
 113   0.2242  1.7670E-002     3.2328E+001    -5.9968E-003     5.4857E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.8212E-029
 114   0.2262  1.7658E-002     3.2306E+001    -6.0503E-003     5.5347E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.4076E-029
 115   0.2282  1.7646E-002     3.2284E+001    -6.1038E-003     5.5836E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.8010E-029
 116   0.2302  1.7633E-002     3.2261E+001    -6.1573E-003     5.6326E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.5177E-029
 117   0.2322  1.7621E-002     3.2239E+001    -6.2108E-003     5.6815E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.5400E-029
 118   0.2342  1.7609E-002     3.2216E+001    -6.2643E-003     5.7305E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.5617E-029
 119   0.2362  1.7596E-002     3.2193E+001    -6.3179E-003     5.7795E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.0394E-029
 120   0.2382  1.7583E-002     3.2170E+001    -6.3714E-003     5.8284E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.0567E-029
 121   0.2402  1.7570E-002     3.2146E+001    -6.4249E-003     5.8774E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.9517E-029
 122   0.2422  1.7557E-002     3.2123E+001    -6.4784E-003     5.9263E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.5160E-028
 123   0.2442  1.7544E-002     3.2099E+001    -6.5319E-003     5.9753E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0776E-028
 124   0.2462  1.7531E-002     3.2075E+001    -6.5854E-003     6.0242E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.9280E-029
 125   0.2482  1.7518E-002     3.2050E+001    -6.6389E-003     6.0732E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0131E-028
 126   0.2503  1.7505E-002     3.2026E+001    -6.6924E-003     6.1221E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.6589E-029
 127   0.2523  1.7491E-002     3.2001E+001    -6.7459E-003     6.1711E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.0431E-029
 128   0.2543  1.7478E-002     3.1977E+001    -6.7994E-003     6.2200E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.6032E-028
 129   0.2563  1.7464E-002     3.1952E+001    -6.8530E-003     6.2690E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.0600E-029
 130   0.2583  1.7450E-002     3.1926E+001    -6.9065E-003     6.3179E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.5171E-029
 131   0.2603  1.7436E-002     3.1901E+001    -6.9600E-003     6.3669E+000    -8.9797E-001     2.9850E+002     1.0932E-003    -1.9627E-029
 132   0.2623  1.7422E-002     3.1875E+001    -7.0135E-003     6.4158E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.5950E-029
 133   0.2643  1.7408E-002     3.1850E+001    -7.0670E-003     6.4647E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.5860E-028
 134   0.2663  1.7394E-002     3.1824E+001    -7.1205E-003     6.5137E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0994E-028
 135   0.2683  1.7380E-002     3.1797E+001    -7.1740E-003     6.5626E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1620E-028
 136   0.2703  1.7365E-002     3.1771E+001    -7.2275E-003     6.6116E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.9245E-029
 137   0.2723  1.7351E-002     3.1745E+001    -7.2810E-003     6.6605E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.0422E-029
 138   0.2743  1.7336E-002     3.1718E+001    -7.3345E-003     6.7095E+000    -8.9797E-001     2.9850E+002     1.0932E-003     9.8171E-029
 139   0.2763  1.7322E-002     3.1691E+001    -7.3880E-003     6.7584E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.8925E-029
 140   0.2783  1.7307E-002     3.1664E+001    -7.4415E-003     6.8074E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.3862E-028
 141   0.2803  1.7292E-002     3.1636E+001    -7.4950E-003     6.8563E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.7319E-028
 142   0.2823  1.7277E-002     3.1609E+001    -7.5485E-003     6.9052E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.5092E-028
 143   0.2843  1.7262E-002     3.1581E+001    -7.6020E-003     6.9542E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.7833E-028
 144   0.2863  1.7246E-002     3.1553E+001    -7.6555E-003     7.0031E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.2695E-027
 145   0.2883  1.7231E-002     3.1525E+001    -7.7090E-003     7.0521E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.7910E-028
 146   0.2903  1.7215E-002     3.1497E+001    -7.7625E-003     7.1010E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.9922E-028
 147   0.2923  1.7200E-002     3.1468E+001    -7.8160E-003     7.1499E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.1806E-028
 148   0.2943  1.7184E-002     3.1439E+001    -7.8695E-003     7.1989E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.4250E-028
 149   0.2963  1.7168E-002     3.1410E+001    -7.9230E-003     7.2478E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.2630E-028
 150   0.2983  1.7152E-002     3.1381E+001    -7.9765E-003     7.2968E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.4956E-028
 151   0.3003  1.7136E-002     3.1352E+001    -8.0300E-003     7.3457E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.0215E-028
 152   0.3023  1.7120E-002     3.1322E+001    -8.0835E-003     7.3946E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.8435E-028
 153   0.3043  1.7104E-002     3.1293E+001    -8.1370E-003     7.4436E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.8284E-027
 154   0.3063  1.7088E-002     3.1263E+001    -8.1905E-003     7.4925E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0190E-027
 155   0.3083  1.7071E-002     3.1233E+001    -8.2440E-003     7.5415E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.5647E-028
 156   0.3103  1.7055E-002     3.1202E+001    -8.2975E-003     7.5904E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.4350E-027
 157   0.3123  1.7038E-002     3.1172E+001    -8.3510E-003     7.6393E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.6527E-027
 158   0.3143  1.7021E-002     3.1141E+001    -8.4045E-003     7.6883E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.0407E-027
 159   0.3163  1.7004E-002     3.1110E+001    -8.4580E-003     7.7372E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.3657E-027
 160   0.3183  1.6987E-002     3.1079E+001    -8.5115E-003     7.7861E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.8236E-027
 161   0.3203  1.6970E-002     3.1048E+001    -8.5650E-003     7.8351E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.8648E-027
 162   0.3223  1.6953E-002     3.1017E+001    -8.6184E-003     7.8840E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.8229E-027
 163   0.3243  1.6936E-002     3.0985E+001    -8.6719E-003     7.9329E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.4203E-027
 164   0.3263  1.6918E-002     3.0953E+001    -8.7254E-003     7.9819E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.4557E-027
 165   0.3283  1.6901E-002     3.0921E+001    -8.7789E-003     8.0308E+000    -8.9797E-001     2.9850E+002     1.0932E-003     7.2940E-027
 166   0.3303  1.6883E-002     3.0889E+001    -8.8324E-003     8.0797E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.5020E-027
 167   0.3323  1.6865E-002     3.0856E+001    -8.8859E-003     8.1287E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.0921E-026
 168   0.3343  1.6848E-002     3.0824E+001    -8.9394E-003     8.1776E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1487E-026
 169   0.3363  1.6830E-002     3.0791E+001    -8.9929E-003     8.2265E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.3599E-026
 170   0.3383  1.6812E-002     3.0758E+001    -9.0464E-003     8.2754E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.5360E-026
 171   0.3403  1.6793E-002     3.0725E+001    -9.0998E-003     8.3244E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.9558E-026
 172   0.3423  1.6775E-002     3.0691E+001    -9.1533E-003     8.3733E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.3342E-026
 173   0.3443  1.6757E-002     3.0657E+001    -9.2068E-003     8.4222E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.7914E-026
 174   0.3463  1.6738E-002     3.0624E+001    -9.2603E-003     8.4712E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.3373E-026
 175   0.3483  1.6720E-002     3.0590E+001    -9.3138E-003     8.5201E+000    -8.9797E-001     2.9850E+002     1.0932E-003     3.9782E-026
 176   0.3504  1.6701E-002     3.0555E+001    -9.3673E-003     8.5690E+000    -8.9797E-001     2.9850E+002     1.0932E-003     4.7543E-026
 177   0.3524  1.6682E-002     3.0521E+001    -9.4208E-003     8.6179E+000    -8.9797E-001     2.9850E+002     1.0932E-003     5.6221E-026
 178   0.3544  1.6663E-002     3.0486E+001    -9.4742E-003     8.6669E+000    -8.9797E-001     2.9850E+002     1.0932E-003     6.7399E-026
 179   0.3564  1.6644E-002     3.0452E+001    -9.5277E-003     8.7158E+000    -8.9797E-001     2.9850E+002     1.0932E-003     8.0348E-026
 180   0.3584  1.6625E-002     3.0417E+001    -9.5812E-003     8.7647E+000    -8.9797E-001     2.9850E+002     1.0932E-003     9.5696E-026
 181   0.3604  1.6606E-002     3.0381E+001    -9.6347E-003     8.8136E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.1422E-025
 182   0.3624  1.6587E-002     3.0346E+001    -9.6882E-003     8.8626E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.3609E-025
 183   0.3644  1.6567E-002     3.0310E+001    -9.7417E-003     8.9115E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.6169E-025
 184   0.3664  1.6547E-002     3.0275E+001    -9.7951E-003     8.9604E+000    -8.9797E-001     2.9850E+002     1.0932E-003     1.9439E-025
 185   0.3684  1.6528E-002     3.0239E+001    -9.8486E-003     9.0093E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.3148E-025
 186   0.3704  1.6508E-002     3.0203E+001    -9.9021E-003     9.0582E+000    -8.9797E-001     2.9850E+002     1.0932E-003     2.7562E-025
