       X(cm)   F(g/cm^2-s)     U(cm/s)         G(g/cm^3-s)     V/R(1/s)        H(g/cm^3-s^2)   T(K)            RHO(g/cm^3)     HDOT(cal/s/cm^3)
   1   0.0000  4.2807E-002     7.7065E+001     0.0000E+000     0.0000E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   2   0.0020  4.2807E-002     7.7065E+001    -8.7511E-005     7.8773E-002    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   3   0.0040  4.2807E-002     7.7064E+001    -1.7502E-004     1.5754E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   4   0.0060  4.2806E-002     7.7064E+001    -2.6253E-004     2.3632E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   5   0.0080  4.2806E-002     7.7062E+001    -3.5004E-004     3.1509E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   6   0.0100  4.2805E-002     7.7061E+001    -4.3755E-004     3.9386E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   7   0.0120  4.2804E-002     7.7059E+001    -5.2506E-004     4.7263E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   8   0.0140  4.2803E-002     7.7057E+001    -6.1257E-004     5.5140E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
   9   0.0160  4.2801E-002     7.7055E+001    -7.0007E-004     6.3017E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  10   0.0180  4.2800E-002     7.7052E+001    -7.8758E-004     7.0894E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  11   0.0200  4.2798E-002     7.7049E+001    -8.7509E-004     7.8770E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  12   0.0220  4.2796E-002     7.7046E+001    -9.6259E-004     8.6647E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  13   0.0240  4.2794E-002     7.7042E+001    -1.0501E-003     9.4524E-001    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  14   0.0260  4.2792E-002     7.7038E+001    -1.1376E-003     1.0240E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  15   0.0280  4.2790E-002     7.7034E+001    -1.2251E-003     1.1028E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  16   0.0300  4.2787E-002     7.7030E+001    -1.3126E-003     1.1815E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  17   0.0320  4.2785E-002     7.7025E+001    -1.4001E-003     1.2603E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  18   0.0340  4.2782E-002     7.7019E+001    -1.4876E-003     1.3391E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  19   0.0360  4.2779E-002     7.7014E+001    -1.5751E-003     1.4178E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  20   0.0380  4.2775E-002     7.7008E+001    -1.6626E-003     1.4966E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  21   0.0400  4.2772E-002     7.7002E+001    -1.7501E-003     1.5754E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
  22   0.0420  4.2768E-002     7.6995E+001    -1.8376E-003     1.6541E+000    -3.3687E+000     2.9895E+002     1.1109E-003    -1.2681E-033
